년도,월,일,시간,측정지점,소음도,비고
2018,11,30,24,성수동,71.1,
2018,12,1,1,성수동,70.8,
2018,12,1,2,성수동,69.6,
2018,12,1,3,성수동,68.9,
2018,12,1,4,성수동,68.5,
2018,12,1,5,성수동,67.9,
2018,12,1,6,성수동,69.5,
2018,12,1,7,성수동,70.1,
2018,12,1,8,성수동,71.5,
2018,12,1,9,성수동,72.5,
2018,12,1,10,성수동,72.4,
2018,12,1,11,성수동,72.6,
2018,12,1,12,성수동,72.6,
2018,12,1,13,성수동,72.9,
2018,12,1,14,성수동,72.7,
2018,12,1,15,성수동,72.3,
2018,12,1,16,성수동,72.6,
2018,12,1,17,성수동,72.6,
2018,12,1,18,성수동,72.4,
2018,12,1,19,성수동,72.6,
2018,12,1,20,성수동,72.2,
2018,12,1,21,성수동,71.4,
2018,12,1,22,성수동,71.6,
2018,12,1,23,성수동,70.9,
2018,12,1,24,성수동,70.6,
2018,12,2,1,성수동,70.4,
2018,12,2,2,성수동,69.7,
2018,12,2,3,성수동,68.4,
2018,12,2,4,성수동,67.8,
2018,12,2,5,성수동,67.3,
2018,12,2,6,성수동,67.4,
2018,12,2,7,성수동,68.7,
2018,12,2,8,성수동,69.6,
2018,12,2,9,성수동,70.8,
2018,12,2,10,성수동,71.0,
2018,12,2,11,성수동,71.6,
2018,12,2,12,성수동,72.1,
2018,12,2,13,성수동,72.2,
2018,12,2,14,성수동,72.2,
